,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
156,1,3,female,-1.2428532116996807,0,0,-0.7147490039850359,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,0.1533025314666569,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
158,0,3,male,0.12329691538978338,0,0,-0.6445427110542498,S,Third,man,True,Southampton,no,True,0
160,0,3,male,1.5494582746329946,0,1,-0.08259770064451848,S,Third,man,True,Southampton,no,False,1
161,1,2,female,1.1505566337283266,0,0,-0.10904217172262358,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,-0.24559910943801097,0,0,-0.7115983341451588,S,Third,man,True,Southampton,no,True,0
163,0,3,male,-1.1431278014735138,0,0,-0.6445427110542498,S,Third,man,True,Southampton,no,True,0
165,1,3,male,-1.9409310832828495,0,2,0.2517359694143802,S,Third,child,False,Southampton,yes,False,2
166,1,1,female,0.12329691538978338,0,1,2.8565163706077223,S,First,woman,False,Southampton,yes,False,1
167,0,3,female,1.6491836848591614,1,4,0.8089587528458783,S,Third,woman,False,Southampton,no,False,5
168,0,1,male,0.12329691538978338,0,0,0.6597363803337145,S,First,man,True,Southampton,no,True,0
169,0,3,male,-0.046148288985677036,0,0,2.9695324844323783,S,Third,man,True,Southampton,no,True,0
171,0,3,male,-2.4395581344136845,4,1,0.9015144016192459,Q,Third,child,False,Queenstown,no,False,5
173,0,3,male,-0.7442261605688458,0,0,-0.7002649893973995,S,Third,man,True,Southampton,no,True,0
175,0,3,male,-1.0434023912473467,1,1,-0.705614328118342,S,Third,man,True,Southampton,no,False,2
176,0,3,male,0.12329691538978338,3,1,0.6251092343477272,S,Third,man,True,Southampton,no,False,4
177,0,1,female,2.1478107359899963,0,0,0.8703477035629077,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,0.1533025314666569,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True,0
179,0,3,male,0.7516549928236588,0,0,-1.2990433702373483,S,Third,man,True,Southampton,no,True,0
181,0,2,male,0.12329691538978338,0,0,-0.16193111387883352,C,Second,man,True,Cherbourg,no,True,0
182,0,3,male,-1.9409310832828495,4,2,1.0724590182312816,S,Third,child,False,Southampton,no,False,6
184,1,3,female,-2.4395581344136845,0,2,0.36506941689197303,S,Third,child,False,Southampton,yes,False,2
185,0,1,male,0.12329691538978338,0,0,2.4787382123490795,S,First,man,True,Southampton,no,True,0
186,1,3,female,0.12329691538978338,1,0,-0.12793107963555572,Q,Third,woman,False,Queenstown,yes,False,1
187,1,1,male,1.6491836848591614,0,0,0.7069586501160449,S,First,man,True,Southampton,yes,True,0
188,0,3,male,1.1505566337283266,1,1,-0.12793107963555572,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,0.7516549928236588,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
190,1,2,female,0.3527533519189909,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,-0.9436769810211798,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True,0
192,1,3,female,-0.9436769810211798,1,0,-0.705614328118342,S,Third,woman,False,Southampton,yes,False,1
193,1,2,male,-2.539283544639851,1,1,0.6654030527075941,S,Second,child,False,Southampton,yes,False,2
194,1,1,female,1.5494582746329946,0,0,0.7954191836538886,C,First,woman,False,Cherbourg,yes,True,0
196,0,3,male,0.12329691538978338,0,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,True,0
197,0,3,male,1.3500074541806606,0,1,-0.6640587307098913,S,Third,man,True,Southampton,no,False,1
198,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True,0
199,0,2,female,-0.4450499298903449,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,-0.046148288985677036,0,0,-0.581264869545927,S,Third,man,True,Southampton,no,True,0
202,0,3,male,0.5522041723713248,0,0,-0.8082490981540501,S,Third,man,True,Southampton,no,True,0
203,0,3,male,1.699046389972245,0,0,-0.7531539315536095,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,-1.0434023912473467,0,0,-0.6908205354409335,S,Third,man,True,Southampton,yes,True,0
206,0,3,male,0.3527533519189909,1,0,-0.10148660855745076,S,Third,man,True,Southampton,no,False,1
207,1,3,male,-0.24559910943801097,0,0,0.12045805941950202,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,-1.2428532116996807,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,1.1505566337283266,0,0,1.0431812109662368,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,-0.4450499298903449,0,0,-0.766376167092662,S,Third,man,True,Southampton,no,True,0
211,1,2,female,0.6519295825974918,0,0,0.28762489444895134,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,-0.6445007503426788,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True,0
213,0,2,male,0.1533025314666569,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True,0
214,0,3,male,0.12329691538978338,1,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,False,1
216,1,3,female,-0.145873699211844,0,0,-0.7002649893973995,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,1.3500074541806606,1,0,0.7409586843593227,S,Second,man,True,Southampton,no,False,1
219,0,2,male,0.1533025314666569,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True,0
220,1,3,male,-1.2428532116996807,0,0,-0.6908205354409335,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,-0.145873699211844,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True,0
222,0,3,male,2.2475361462161634,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
223,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
225,0,3,male,-0.6445007503426788,0,0,-0.5925982142936864,S,Third,man,True,Southampton,no,True,0
226,1,2,male,-0.9436769810211798,0,0,-0.5057092378941985,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,-0.7940888656819293,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True,0
228,0,2,male,-1.0434023912473467,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True,0
229,0,3,female,0.12329691538978338,3,1,0.6251092343477272,S,Third,woman,False,Southampton,no,False,4
231,0,3,male,0.05357712124048994,0,0,-0.7115983341451588,S,Third,man,True,Southampton,no,True,0
233,1,3,female,-2.3398327241875174,4,2,1.0724590182312816,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,-0.4450499298903449,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True,0
235,0,3,female,0.12329691538978338,0,0,-0.7285983512667977,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,1.5494582746329946,1,0,0.6654030527075941,S,Second,man,True,Southampton,no,False,1
237,1,2,female,-2.0406564935090166,0,2,0.6842919606205263,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,-0.9436769810211798,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.4524787621451578,0,0,-0.3715979917123803,S,Second,man,True,Southampton,no,True,0
240,0,3,female,0.12329691538978338,1,0,-0.20694715921693344,C,Third,woman,False,Cherbourg,no,False,1
241,1,3,female,0.12329691538978338,1,0,-0.12793107963555572,Q,Third,woman,False,Queenstown,yes,False,1
242,0,2,male,0.05357712124048994,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True,0
243,0,3,male,-0.6445007503426788,0,0,-0.7607094947187824,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.1533025314666569,0,0,-0.7531539315536095,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,-0.34532451966417793,0,0,-0.7115983341451588,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,-0.4450499298903449,0,2,-0.2034867112872843,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.8513804030498257,1,1,2.6717224067139247,S,First,man,True,Southampton,yes,False,2
249,0,2,male,2.5467123768946642,1,0,0.6654030527075941,S,Second,man,True,Southampton,no,False,1
250,0,3,male,0.12329691538978338,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True,0
251,0,3,female,0.05357712124048994,1,1,-0.5085425740811383,S,Third,woman,False,Southampton,no,False,2
253,0,3,male,0.1533025314666569,1,0,-0.08259770064451848,S,Third,man,True,Southampton,no,False,1
254,0,3,female,1.2502820439544935,0,2,0.228124834523215,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,0.05357712124048994,0,2,-0.1471373212014252,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,2.1478107359899963,0,1,0.6654030527075941,S,Second,woman,False,Southampton,yes,False,1
260,0,3,male,0.12329691538978338,0,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,True,0
261,1,3,male,-2.539283544639851,4,2,1.0724590182312816,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,1.1505566337283266,0,0,-1.2990433702373483,S,First,man,True,Southampton,no,True,0
264,0,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,0.7516549928236588,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True,0
266,0,3,male,-1.2428532116996807,4,1,1.6995707609406288,S,Third,man,True,Southampton,no,False,5
267,1,3,male,-0.34532451966417793,1,0,-0.7115983341451588,S,Third,man,True,Southampton,yes,False,1
270,0,1,male,0.12329691538978338,0,0,1.0431812109662368,S,First,man,True,Southampton,no,True,0
271,1,3,male,-0.34532451966417793,0,0,-1.2990433702373483,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,1.2502820439544935,0,1,0.1742914469713585,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,0.8513804030498257,0,1,0.9449588898189898,C,First,man,True,Cherbourg,no,False,1
274,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True,0
276,0,3,female,1.6491836848591614,0,0,-0.713487224936452,S,Third,woman,False,Southampton,no,True,0
277,0,2,male,0.12329691538978338,0,0,-1.2990433702373483,S,Second,man,True,Southampton,no,True,0
278,0,3,male,-2.1403819037351832,4,1,0.9015144016192459,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,0.6519295825974918,1,1,0.23095817071015493,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,-0.046148288985677036,0,0,-0.705614328118342,S,Third,man,True,Southampton,no,True,0
282,0,3,male,-1.2428532116996807,0,0,-0.581264869545927,S,Third,man,True,Southampton,no,True,0
283,1,3,male,-0.9436769810211798,0,0,-0.6908205354409335,S,Third,man,True,Southampton,yes,True,0
284,0,1,male,0.12329691538978338,0,0,0.6654030527075941,S,First,man,True,Southampton,no,True,0
285,0,3,male,0.4524787621451578,0,0,-0.6445427110542498,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,0.1533025314666569,0,0,-0.581264869545927,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,-0.6445007503426788,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
288,1,2,male,1.3500074541806606,0,0,-0.3168201587648771,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,-0.6445007503426788,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True,0
292,0,2,male,0.7516549928236588,0,0,-0.32626461272134316,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,-0.4450499298903449,0,0,-0.6303760301195507,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,-0.4450499298903449,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
295,0,1,male,0.12329691538978338,0,0,0.7954191836538886,C,First,man,True,Cherbourg,no,True,0
296,0,3,male,-0.4949126350034284,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,no,True,0
298,1,1,male,0.12329691538978338,0,0,1.0054033951403727,S,First,man,True,Southampton,yes,True,0
300,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True,0
301,1,3,male,0.12329691538978338,2,0,0.4576250656653406,Q,Third,man,True,Queenstown,yes,False,2
302,0,3,male,-0.9436769810211798,0,0,-1.2990433702373483,S,Third,man,True,Southampton,no,True,0
303,1,2,female,0.12329691538978338,0,0,-0.3659313193385007,Q,Second,woman,False,Queenstown,yes,True,0
304,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
308,0,2,male,0.1533025314666569,1,0,0.514291789404137,C,Second,man,True,Cherbourg,no,False,1
309,1,1,female,0.1533025314666569,0,0,3.002278295190237,C,First,woman,False,Cherbourg,yes,True,0
312,0,2,female,-0.24559910943801097,1,1,0.6654030527075941,S,Second,woman,False,Southampton,no,False,2
313,0,3,male,-0.046148288985677036,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
314,0,2,male,1.4497328644068275,1,1,0.6842919606205263,S,Second,man,True,Southampton,no,False,2
315,1,3,female,-0.24559910943801097,0,0,-0.705614328118342,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,-0.4450499298903449,1,0,0.6654030527075941,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,2.5467123768946642,0,0,-0.24126452711314855,S,Second,man,True,Southampton,no,True,0
320,0,3,male,-0.6445007503426788,0,0,-0.7512650407623164,S,Third,man,True,Southampton,no,True,0
321,0,3,male,-0.145873699211844,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
322,1,2,female,0.1533025314666569,0,0,-0.3659313193385007,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,-0.6445007503426788,1,1,0.8920699476627798,S,Second,woman,False,Southampton,yes,False,2
327,1,2,female,0.7516549928236588,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,0.2530279416928239,1,1,0.2517359694143802,S,Third,woman,False,Southampton,yes,False,2
329,1,1,female,-1.2428532116996807,0,1,3.081611708424552,C,First,woman,False,Cherbourg,yes,False,1
330,1,3,female,0.12329691538978338,2,0,0.4576250656653406,Q,Third,woman,False,Queenstown,yes,False,2
331,0,1,male,1.699046389972245,0,0,0.8542921318369155,S,First,man,True,Southampton,no,True,0
333,0,3,male,-1.2428532116996807,2,0,0.06095799949376567,S,Third,man,True,Southampton,no,False,2
335,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
